names,scores,logfoldchanges,pvals,pvals_adj
CCNG2,0.7473023,1.2632166,0.45488112166401706,1.0
NPIPB4,0.74644506,2.6041317,0.4553986148018747,1.0
LONP1,0.745845,0.6070279,0.45576105709269066,1.0
AC007388.1,0.74564904,0.7655905,0.45587944073747844,1.0
HS1BP3,0.7455633,0.9478577,0.45593123902132193,1.0
YIF1A,0.7452449,0.6836333,0.456123661630378,1.0
NEK7,0.7450245,0.67377955,0.4562569040333434,1.0
LRRC8C,0.7448776,1.8635732,0.4563457444596657,1.0
DIS3,0.74442446,1.4252353,0.45661973032490755,1.0
HMG20B,0.74442446,1.0259099,0.45661973032490755,1.0
STYX,0.744253,1.0764738,0.45672342475737604,1.0
CCDC92,0.74372643,1.7736436,0.4570419975282053,1.0
CCDC43,0.74362844,0.794862,0.4571012806498901,1.0
SLC22A18AS,0.7432366,2.6487117,0.4573384563246118,1.0
BRAF,0.7429304,0.8028819,0.4575237978931823,1.0
SPSB1,0.7426365,0.5112884,0.45770176546372976,1.0
BAP1,0.74261206,0.87080127,0.4577165978482707,1.0
CXCL1,0.7422569,3.0588582,0.45793169773811815,1.0
MGAT4B,0.74186504,1.2501771,0.4581691151513163,1.0
TBC1D13,0.74181604,25.530664,0.45819879718206746,1.0
EDNRB,0.74181604,25.78195,0.45819879718206746,1.0
PUM3,0.74174255,0.7215941,0.458243322250526,1.0
ACOT8,0.74142414,0.82943195,0.4584362922543517,1.0
DVL3,0.7411303,0.8642505,0.4586144588491544,1.0
HSD17B7,0.7409343,1.5012336,0.4587332581421193,1.0
RASGRP4,0.74034655,2.5250628,0.459089759501249,1.0
UBXN7,0.7401506,1.1184762,0.45920862777417193,1.0
ZNF585A,0.73915863,2.5250628,0.45981066292033124,1.0
WDR77,0.7385341,1.2392285,0.460189948642699,1.0
ZNRD1,0.73843616,0.71349186,0.4602494603212287,1.0
SLC25A46,0.73811775,0.6744133,0.46044290300947643,1.0
PPM1A,0.7370768,0.6976169,0.46107562904577293,1.0
AGO4,0.7369421,1.0932108,0.46115754673532194,1.0
MAN2A1,0.7366482,0.7646718,0.46133630446717266,1.0
SPACA6,0.73593795,25.497774,0.46176846210222144,1.0
VWA8,0.7351787,1.9445713,0.4622306735757269,1.0
TNS1,0.7348358,1.4680481,0.4624394988405255,1.0
RCOR1,0.7343215,0.68797415,0.46275283540370715,1.0
MRPL41,0.7342725,0.2463809,0.4627826831549984,1.0
RPS15A,0.7341133,0.0755322,0.4628796957608998,1.0
VHL,0.73410106,0.9396804,0.4628871587387027,1.0
RAB7B,0.7336112,2.9045653,0.4631857328600938,1.0
HOMEZ,0.7335867,25.50441,0.46320066438340113,1.0
LINC00909,0.7324478,1.4124174,0.46389527642736117,1.0
C7orf43,0.7324111,25.468678,0.46391769292079854,1.0
STK38,0.73149264,0.31494507,0.46447830125300804,1.0
AC245128.3,0.73123544,25.517595,0.4646353391120428,1.0
HMGB1,0.7307334,0.27861696,0.46494202195097367,1.0
LPP,0.7306109,0.50312024,0.46501683971660235,1.0
C16orf58,0.73005986,25.468678,0.46535360249648616,1.0
MRPL38,0.7290557,1.8017615,0.4659676075340137,1.0
C8orf82,0.7284189,2.4803133,0.46635720959817584,1.0
ZNF317,0.7284189,1.7525932,0.46635720959817584,1.0
CCNT2,0.7281005,0.50936764,0.466552078419863,1.0
AC004988.1,0.7280025,2.6274087,0.4666120471473453,1.0
PRKD2,0.7279658,1.1146148,0.46663453652287934,1.0
ATP6V1D,0.72784334,0.3454933,0.466709505451834,1.0
SLAMF1,0.72770864,25.785624,0.466791978991866,1.0
STOML1,0.72742695,2.5144417,0.46696444979166407,1.0
PIGS,0.7268759,0.8098075,0.46730199486848834,1.0
NRP1,0.7268269,1.6673094,0.46733200542070474,1.0
SUGP1,0.72590846,2.4509697,0.4678949010741451,1.0
